CustomerID,Title,GivenName,MiddleInitial,Surname,CreditCardType,Occupation,Gender,Age,Location,MotorInsurance,MotorValue,MotorType,HealthInsurance,HealthType,HealthDependentsAdults,HealthDependentsKids,TravelInsurance,TravelType
381,Mrs.,Ailie,F,Sinclair,,,female,48,Urban,Yes,33654,Single,Yes,Level2,1,2,Yes,Business
383,Ms.,Tyler,M,Smith,Visa,,female,18,Urban,Yes,21441,Bundle,No,,,,No,
385,Mr.,Brandon,M,Bruce,AMEX,Surveying technician,male,53,Rural,Yes,12904,Single,Yes,Level2,0,2,No,
386,Mr.,Kody,N,Sinclair,AMEX,Human resources assistant,male,48,Urban,Yes,28138,Single,No,,,,Yes,Business
388,Ms.,Aaliyah,Z,Hughes,AMEX,Administrative clerk,female,42,Urban,Yes,34297,Single,Yes,Level2,1,2,Yes,Business
390,Ms.,Emma,R,Saunders,,Press agent,female,18,Urban,Yes,5195,Single,No,,,,No,
391,Mrs.,Leigha,E,Burns,AMEX,,female,50,Rural,Yes,18001,Single,Yes,Level2,0,2,Yes,Standard
395,Mr.,Joe,O,Kennedy,,,male,45,Urban,Yes,30497,Single,No,,,,No,
397,Mr.,Brandon,A,Morton,AMEX,Rotary drill operator,male,50,Rural,Yes,16695,Single,Yes,Level2,0,3,No,
410,Mrs.,Isabella,L,Payne,AMEX,,female,51,Rural,Yes,15121,Single,No,,,,No,
413,Ms.,Rosa,G,Munro,AMEX,,female,48,Urban,Yes,8343,Single,Yes,Level2,2,2,No,
422,Mrs.,Rachel,L,Wallis,AMEX,Electronics engineer,female,23,Urban,Yes,23661,Bundle,No,,,,Yes,Premium
423,Dr.,Lewis,E,Slater,AMEX,,male,44,Urban,Yes,40577,Single,Yes,Level2,0,3,Yes,Business
428,Mrs.,Eva,H,Barnett,Visa,Animal control worker,female,18,Rural,No,,,No,,,,Yes,Premium
429,Mr.,David,M,Martin,Visa,Landlord,male,66,Rural,Yes,35394,Bundle,Yes,Level3,0,0,Yes,Senior
434,Mrs.,Eloise,J,Sharpe,AMEX,Nursing assistant,female,72,Rural,No,,,Yes,Level3,0,0,Yes,Senior
444,Mrs.,Lola,C,Dodd,AMEX,Landscape contractor,female,49,Rural,Yes,16202,Single,Yes,Level2,2,3,No,
449,Mr.,Bryn,J,Craig,,,male,19,Urban,Yes,22048,Bundle,No,,,,Yes,Business
450,Mr.,Brad,L,McGregor,,Risk manager,male,49,Urban,Yes,36931,Single,No,,,,No,
453,Mr.,Kaden,A,McMillan,Visa,Student affairs administrator,male,41,Rural,Yes,16547,Single,No,,,,No,
454,Ms.,Abbie,O,Leach,AMEX,Loading machine operator,female,49,Rural,Yes,19949,Single,Yes,Level3,1,2,No,
456,Ms.,Brooke,L,Hobbs,AMEX,,female,50,Urban,Yes,33191,Single,Yes,Level1,0,2,Yes,Backpacker
460,Mr.,Mathew,L,Donaldson,Visa,Process technician,male,19,Urban,Yes,5187,Bundle,No,,,,No,
463,Mr.,Nathan,I,Docherty,AMEX,Botanist,male,48,Rural,Yes,10215,Single,Yes,Level1,1,3,No,
464,Mrs.,Miriam,K,Stevenson,Visa,,female,20,Urban,No,,,No,,,,No,
465,Mr.,Kane,A,McIntosh,Visa,,male,18,Urban,Yes,22488,Bundle,No,,,,Yes,Backpacker
467,Mrs.,Michelle,J,Hay,,,female,45,Urban,Yes,37734,Bundle,Yes,Level2,1,2,No,
468,Dr.,Sally,M,Wright,,Labor economist,female,45,Rural,Yes,17282,Single,Yes,Level2,0,2,Yes,Business
470,Mrs.,Melissa,M,McMillan,AMEX,,female,63,Rural,Yes,28781,Single,Yes,Level3,0,0,Yes,Senior
471,Mr.,Rory,N,Clark,Visa,Licensed clinical social worker,male,52,Urban,Yes,15969,Single,Yes,Level2,0,3,No,
472,Ms.,Maeve,B,Ferguson,,Airbrush artist,female,49,Rural,Yes,35473,Bundle,Yes,Level2,0,3,No,
478,Ms.,Elise,L,Donnelly,AMEX,Osteopathic surgeon,female,54,Rural,Yes,8981,Single,Yes,Level2,0,2,Yes,Business
481,Mr.,Beau,M,Moore,AMEX,Machine offbearer,male,74,Rural,Yes,30142,Single,Yes,Level2,1,0,Yes,Senior
483,Ms.,Lily-rose,A,McKay,AMEX,,female,62,Urban,No,,,Yes,Level3,1,0,Yes,Backpacker
486,Mr.,Paul,F,Clark,,Plating and coating machine operator,male,23,Urban,Yes,4975,Bundle,No,,,,Yes,Premium
488,Mr.,Kenzie,C,Docherty,AMEX,,male,68,Urban,Yes,24402,Single,Yes,Level3,1,0,No,
493,Mr.,Lewis,H,Ford,,Technical education teacher,male,24,Rural,Yes,28318,Bundle,No,,,,Yes,Business
499,Mrs.,Kimberly,S,Allan,AMEX,,female,55,Urban,Yes,13741,Single,No,,,,No,
502,Mrs.,Matilda,B,Douglas,,Recreation supervisor,female,41,Urban,Yes,29717,Single,Yes,Level2,0,2,No,
505,Mr.,Luis,J,Davidson,Visa,Magnetic resonance (MR) technologist,male,48,Rural,Yes,37717,Single,No,,,,Yes,Premium
507,Ms.,Paige,C,Gallagher,AMEX,Construction cost estimator,female,50,Urban,Yes,33542,Single,Yes,Level2,1,2,Yes,Standard
528,Mr.,Spencer,E,Taylor,Visa,Geropsychologist,male,37,Rural,Yes,34062,Single,No,,,,Yes,Backpacker
530,Mr.,Warren,K,Donaldson,AMEX,Budget officer,male,47,Urban,Yes,37271,Single,Yes,Level2,1,3,Yes,Business
540,Mr.,Muhammad,B,Schofield,,File clerk,male,47,Urban,Yes,31429,Single,Yes,Level3,1,3,No,
551,Mrs.,Isabella,R,Lees,Visa,,female,47,Urban,Yes,18941,Single,Yes,Level2,1,2,Yes,Standard
555,Mr.,Logan,E,Winter,AMEX,,male,66,Urban,No,,,No,,,,Yes,Business
556,Mr.,Isaac,G,Fowler,Visa,,male,47,Urban,Yes,40133,Single,Yes,Level1,1,2,No,
567,Mrs.,Louisa,H,Davidson,AMEX,Construction manager,female,48,Urban,No,,,No,,,,No,
569,Mr.,Patrick,H,Mitchell,AMEX,Government auditor,male,49,Rural,Yes,13328,Single,Yes,Level1,1,2,No,
572,Mrs.,Madison,K,Donnelly,Visa,,female,48,Urban,Yes,29721,Single,Yes,Level3,1,3,No,
578,Mrs.,Casey,C,Graham,Visa,,female,19,Urban,Yes,22805,Bundle,No,,,,Yes,Business
591,Ms.,Yasmin,R,Cross,Visa,Molding coremaking and casting machine operator,female,47,Urban,Yes,34234,Single,Yes,Level3,1,2,No,
593,Mr.,Toby,I,Ross,Visa,Funeral manager,male,43,Urban,Yes,29894,Single,Yes,Level3,0,3,No,
601,Mr.,Darren,H,Milne,AMEX,Respiratory therapist,male,20,Rural,Yes,22489,Bundle,No,,,,Yes,Business
607,Mr.,Jamie,M,Hammond,AMEX,Horse trainer,male,23,Rural,Yes,23054,Bundle,Yes,Level2,1,0,Yes,Business
616,Mr.,George,J,Preston,AMEX,Religious activities and education director,male,50,Rural,No,,,Yes,Level2,1,2,Yes,Backpacker
619,Mr.,Dylan,J,Young,AMEX,Clinical laboratory scientist,male,22,Urban,Yes,4918,Single,No,,,,Yes,Business
621,Mr.,Colin,E,Douglas,AMEX,Foot doctor,male,47,Urban,No,,,Yes,Level2,2,3,Yes,Business
625,Ms.,Cora,J,Jones,,,female,50,Urban,Yes,12822,Single,Yes,Level1,1,2,No,
637,Mr.,Travis,A,Christie,AMEX,Trapper,male,51,Rural,Yes,17495,Single,Yes,Level3,1,3,Yes,Standard
639,Mrs.,Eloise,B,Holloway,AMEX,,female,23,Urban,Yes,5086,Bundle,No,,,,Yes,Backpacker
642,Mr.,Finlay,S,Bell,Visa,Shipping-and-receiving supervisor,male,46,Rural,Yes,16825,Single,Yes,Level2,1,3,No,
644,Mrs.,Hannah,M,Munro,AMEX,,female,48,Urban,Yes,33573,Single,Yes,Level2,1,2,Yes,Business
646,Ms.,Nieve,F,Thompson,AMEX,Medical record coder,female,50,Urban,No,,,Yes,Level2,2,2,Yes,Business
648,Mr.,Nicolas,A,Johnstone,,Sociocultural anthropologist,male,19,Urban,Yes,4637,Single,Yes,Level2,0,0,No,
652,Mrs.,Rachel,F,Gray,AMEX,,female,22,Rural,No,,,No,,,,No,
653,Mr.,Calvin,K,Boyle,AMEX,Product development manager,male,18,Urban,No,,,Yes,Level2,0,0,No,
660,Mr.,Flynn,M,Boyle,AMEX,Costume designer,male,43,Urban,Yes,33648,Single,No,,,,Yes,Business
663,Mr.,Ewan,S,Hobbs,Visa,Golf course architect,male,21,Urban,No,,,No,,,,No,
666,Ms.,Inaaya,C,Forbes,AMEX,CPA,female,49,Urban,Yes,36405,Single,No,,,,No,
670,Mr.,Logan,C,Jamieson,AMEX,Convention services manager,male,48,Urban,Yes,44786,Single,Yes,Level3,1,3,No,
671,Mrs.,Aleksandra,M,Boyle,AMEX,,female,47,Urban,Yes,18613,Single,Yes,Level2,2,3,No,
676,Mrs.,Murrin,B,Russell,AMEX,Closed captioner,female,51,Rural,Yes,12320,Single,No,,,,No,
681,Mrs.,Tegan,R,Holland,AMEX,,female,21,Urban,Yes,4905,Bundle,No,,,,No,
683,Mrs.,Lara,S,Murphy,AMEX,Loan underwriter,female,51,Rural,Yes,17953,Bundle,Yes,Level2,2,2,No,
688,Ms.,Cerys,T,Curtis,,,female,49,Rural,Yes,20485,Single,Yes,Level3,1,3,No,
689,Mr.,Scott,I,Bray,AMEX,,male,45,Rural,Yes,10654,Single,Yes,Level3,1,3,No,
695,Mr.,Dylan,L,Cunningham,Visa,Software engineer,male,77,Rural,Yes,28979,Single,Yes,Level3,0,0,Yes,Senior
705,Mrs.,Alix,A,Johnstone,AMEX,Holistic nurse,female,46,Rural,Yes,19207,Single,Yes,Level2,1,2,Yes,Standard
709,Ms.,Millie,L,Rhodes,Visa,Computer operator,female,22,Rural,No,,,No,,,,No,
716,Mr.,Tyler,V,Sullivan,AMEX,,male,18,Rural,Yes,5188,Bundle,Yes,Level1,0,0,Yes,Backpacker
718,Mr.,Rayyan,M,McGregor,Visa,Purchasing technician,male,50,Rural,Yes,34756,Single,Yes,Level3,1,3,No,
721,Mr.,Lennon,R,Findlay,Visa,Information security specialist,male,18,Rural,Yes,4986,Single,Yes,Level2,0,0,Yes,Backpacker
734,Mrs.,Eryn,C,Millar,,,female,46,Urban,Yes,35955,Single,Yes,Level1,0,2,No,
737,Mr.,Isaac,G,King,Visa,Automotive service technician,male,52,Urban,Yes,13093,Single,Yes,Level2,2,2,No,
738,Ms.,Tamzin,L,Forbes,AMEX,Conference planner,female,18,Urban,No,,,No,,,,Yes,Premium
739,Ms.,Lauren,S,Ball,AMEX,Machinery maintenance mechanic,female,68,Rural,Yes,23580,Bundle,Yes,Level2,1,0,Yes,Senior
740,Ms.,Olivia,C,Stevenson,,Groundskeeper,female,22,Urban,Yes,28256,Bundle,No,,,,Yes,Business
744,Mrs.,Ella,L,Foster,Visa,,female,51,Rural,Yes,14733,Single,No,,,,No,
751,Mr.,Brandon,S,Campbell,Visa,,male,51,Rural,Yes,34607,Single,Yes,Level1,1,2,No,
752,Mr.,Louis,A,Crawford,Visa,Soil conservationist,male,21,Urban,Yes,28341,Bundle,No,,,,Yes,Business
758,Mr.,Marcel,T,Jamieson,AMEX,,male,50,Urban,No,,,Yes,Level2,1,3,No,
759,Ms.,Jemma,I,Johnston,Visa,Historian,female,20,Rural,Yes,25741,Bundle,Yes,Level2,2,0,Yes,Business
764,Mr.,Samuel,S,Dawson,Visa,Office administrative assistant,male,22,Urban,Yes,21876,Bundle,No,,,,Yes,Business
765,Mr.,Leo,O,Coates,Visa,Vending machine servicer,male,45,Urban,Yes,19852,Bundle,No,,,,Yes,Standard
774,Ms.,Sofia,A,Gibson,AMEX,Pile driver operator,female,45,Rural,No,,,Yes,Level2,2,2,No,
776,Mr.,Codey,I,Russell,,Chairperson of the board,male,49,Rural,Yes,16535,Single,Yes,Level2,1,1,No,
782,Mr.,Christian,M,Wilson,,Hand packer,male,20,Urban,No,,,No,,,,No,
783,Mrs.,Alexandra,L,Sullivan,Visa,Video camera operator,female,50,Rural,Yes,13951,Single,Yes,Level2,1,3,No,
785,Mr.,Caelan,C,McMillan,Visa,,male,53,Urban,Yes,38676,Single,Yes,Level3,1,2,Yes,Standard
786,Ms.,Elise,J,Chambers,Visa,Custodial worker,female,46,Urban,Yes,37077,Single,Yes,Level2,0,2,Yes,Premium
792,Mr.,Harry,C,Fisher,AMEX,,male,22,Urban,No,,,No,,,,No,
800,Mr.,William,L,Thorpe,AMEX,Typist,male,43,Urban,Yes,39333,Single,Yes,Level2,0,2,Yes,Business
801,Mrs.,Georgia,M,Munro,,,female,23,Urban,No,,,No,,,,Yes,Premium
804,Ms.,Alice,E,Fry,,,female,66,Rural,Yes,30537,Single,Yes,Level2,1,0,Yes,Business
805,Mr.,Adrian,L,Hill,AMEX,,male,52,Rural,Yes,20408,Single,Yes,Level2,1,2,Yes,Business
806,Mr.,Donald,S,Kennedy,AMEX,Aircraft surfaces assembler,male,50,Rural,Yes,17779,Single,No,,,,No,
814,Mr.,Mason,A,Wallis,AMEX,,male,54,Rural,Yes,16290,Single,No,,,,No,
818,Ms.,Molly,M,Kirk,Visa,Pedicurist,female,65,Rural,Yes,28232,Single,No,,,,Yes,Standard
821,Mrs.,Nicole,M,Rees,Visa,Camp director,female,53,Rural,Yes,12785,Single,Yes,Level2,1,1,No,
828,Mr.,Alexander,K,Henderson,Visa,Land surveyor,male,49,Urban,No,,,Yes,Level2,1,2,No,
839,Ms.,Jodie,M,Marshall,,,female,47,Urban,Yes,38195,Single,No,,,,Yes,Business
845,Mr.,Bradley,R,Thomas,Visa,Private household cook,male,55,Urban,Yes,33553,Single,No,,,,No,
847,Mr.,Philip,A,Gibson,Visa,Ironworker,male,51,Rural,Yes,17664,Single,Yes,Level2,1,3,Yes,Standard
857,Mr.,Layton,G,Hunter,Visa,General manager,male,23,Rural,No,,,No,,,,Yes,Premium
874,Mr.,Morgan,R,Carr,Visa,Education administrator,male,45,Urban,Yes,33151,Single,Yes,Level2,0,2,Yes,Business
878,Mr.,Jay,C,Haynes,AMEX,Structural engineer,male,21,Urban,Yes,21864,Bundle,No,,,,Yes,Business
883,Mr.,Reece,L,Vincent,Visa,,male,18,Urban,Yes,4866,Bundle,Yes,Level1,0,0,Yes,Standard
891,Mr.,Darryl,A,Simpson,Visa,EEO officer,male,49,Rural,No,,,Yes,Level2,1,3,No,
895,Mrs.,Jessica,K,Cox,Visa,,female,51,Rural,Yes,29300,Single,Yes,Level1,2,2,No,
896,Mr.,Sandy,A,Simpson,Visa,Ski patrol,male,57,Rural,No,,,No,,,,No,
900,Ms.,Georgia,C,James,AMEX,,female,49,Rural,Yes,14601,Single,No,,,,No,
911,Mr.,Kalvin,V,Craig,Visa,Health care interpreter,male,22,Urban,Yes,4975,Bundle,No,,,,Yes,Backpacker
914,Ms.,Summer,H,Green,Visa,Livestock farmer,female,53,Urban,Yes,13273,Single,Yes,Level3,1,3,No,
918,Ms.,Olivia,A,Gibson,Visa,Personnel consultant,female,19,Urban,Yes,21688,Bundle,Yes,Level1,0,0,Yes,Premium
920,Mr.,Jake,E,Boyle,Visa,Job service specialist,male,61,Urban,Yes,28655,Single,No,,,,Yes,Premium
925,Mrs.,Ellie,E,Parker,AMEX,,female,46,Urban,No,,,Yes,Level2,1,2,No,
949,Mr.,Luke,T,Randall,,Technical education teacher,male,58,Urban,Yes,21132,Single,Yes,Level2,0,0,Yes,Business
975,Mrs.,Rose,F,Kerr,AMEX,,female,21,Rural,Yes,22644,Bundle,No,,,,Yes,Premium
978,Ms.,Megan,M,Reid,,Clinical chemistry technologist,female,45,Urban,Yes,35423,Single,Yes,Level3,1,2,Yes,Premium
981,Mrs.,Ellis,N,Jones,Visa,Data processing equipment repairer,female,64,Rural,No,,,Yes,Level2,1,0,Yes,Senior
988,Ms.,Grace,S,Goodwin,AMEX,Scraper operator,female,46,Urban,No,,,Yes,Level3,1,2,Yes,Standard
989,Ms.,Francesca,B,McMillan,AMEX,Cooling and freezing equipment operator,female,69,Urban,Yes,23025,Single,Yes,Level3,0,0,Yes,Senior
992,Mr.,Drew,C,Docherty,Visa,Lead abatement worker,male,19,Urban,No,,,No,,,,No,
993,Mrs.,Freya,Z,Dale,Visa,Executive administrative assistant,female,22,Rural,Yes,14920,Bundle,Yes,Level1,0,0,No,
1003,Mrs.,Kiera,L,Read,AMEX,Grinding and polishing worker,female,20,Rural,Yes,28514,Single,No,,,,Yes,Backpacker
1019,Mr.,Jamie,H,Wallace,Visa,Systems architect,male,52,Urban,Yes,37169,Single,No,,,,No,
1028,Mr.,Codey,T,Simpson,Visa,Credit manager,male,50,Rural,Yes,19627,Single,Yes,Level2,2,3,No,
