CustomerID,Title,GivenName,MiddleInitial,Surname,CreditCardType,Occupation,Gender,Age,Location,MotorInsurance,MotorValue,MotorType,HealthInsurance,HealthType,HealthDependentsAdults,HealthDependentsKids,TravelInsurance,TravelType,PrefChannel
33,Ms.,Zahra,L,McKay,Visa,Health engineer,female,72,Urban,Yes,26761,Bundle,Yes,Level3,1,0,Yes,Standard,Phone
35,Mr.,Max,E,Nicholls,AMEX,Tank car truck and ship loader,male,21,Urban,Yes,28470,Bundle,No,,,,Yes,Premium,Email
36,Ms.,Rosa,J,Clark,AMEX,,female,19,Urban,Yes,19247,Bundle,No,,,,Yes,Premium,Email
37,Mr.,Scott,J,Lowe,Visa,Airport service agent,male,19,Urban,Yes,4596,Single,No,,,,No,,SMS
38,Mr.,Aaron,G,Powell,Visa,,male,69,Rural,No,,,No,,,,Yes,Senior,Phone
39,Ms.,Katy,A,Martin,Visa,,female,47,Rural,Yes,36703,Bundle,Yes,Level2,1,2,No,,Email
40,Mr.,Patrick,E,Reed,AMEX,News correspondent,male,48,Urban,Yes,33385,Single,Yes,Level2,0,2,Yes,Business,SMS
41,Mrs.,Rebekah,M,Walker,,Procurement clerk,female,47,Rural,No,,,Yes,Level2,1,2,Yes,Standard,E
42,Dr.,Mary,J,Moore,AMEX,Soil scientist,female,48,Urban,Yes,35352,Bundle,Yes,Level2,1,3,No,,Email
43,Mr.,Keiren,M,Kerr,,Television camera operator,male,53,Urban,Yes,32558,Single,Yes,Level2,1,2,No,,Email
44,Mrs.,Demi,L,Weston,Visa,,female,47,Rural,Yes,20835,Single,Yes,Level3,1,2,No,,Phone
45,Mr.,Aedan,M,Ritchie,Visa,Information clerk,male,46,Urban,Yes,33452,Single,Yes,Level2,1,2,Yes,Premium,Phone
48,Ms.,Millie,J,Spencer,,,female,73,Urban,Yes,24604,Single,Yes,Level2,0,0,Yes,Senior,Phone
49,Mrs.,Faith,J,Collins,,Social work planner,female,49,Urban,Yes,36038,Single,No,,,,Yes,Senior,Email
50,Ms.,Nikola,C,Craig,Visa,Bench carpenter,female,46,Rural,No,,,No,,,,No,,Email
51,Mr.,Anthony,L,Stephens,Visa,Nuclear medicine technologist,male,23,Urban,No,,,No,,,,Yes,Backpacker,Email
54,Mrs.,Amelia,A,Watson,AMEX,,female,18,Urban,Yes,5263,Single,No,,,,Yes,Standard,Email
55,Mr.,Zak,S,Fox,Visa,Material moving occupation,male,45,Rural,Yes,12413,Single,Yes,Level2,2,3,No,,SMS
57,Mr.,Jack,E,May,Visa,Knitting machine operator,male,73,Urban,Yes,18352,Single,No,,,,Yes,Senior,Phone
59,Mr.,James,E,Milne,Visa,PBX installer,male,47,Urban,Yes,37974,Single,Yes,Level1,2,2,Yes,Standard,Email
60,Ms.,Brooke,H,O'Donnell,Visa,Petroleum pump system operator,female,46,Urban,No,,,Yes,Level2,1,2,No,,Email
62,Mrs.,Savannah,E,Docherty,AMEX,,female,48,Urban,Yes,35594,Single,Yes,Level2,1,2,No,,Phone
63,Ms.,Mylie,E,Watson,,Offset lithographic press operator,female,47,Urban,Yes,34231,Single,Yes,Level3,1,2,No,,Email
65,Mr.,Cillian,J,Smith,AMEX,,male,47,Rural,No,,,No,,,,No,,Phone
66,Ms.,Charlie,O,Horton,AMEX,Hand packer,female,20,Rural,Yes,23131,Bundle,Yes,Level1,0,0,No,,SMS
67,Ms.,Alexis,D,Millar,AMEX,,female,66,Urban,No,,,Yes,Level2,1,0,Yes,Senior,Phone
68,Mr.,Patrick,A,Poole,Visa,,male,44,Urban,Yes,37611,Bundle,No,,,,Yes,Business,Email
69,Mrs.,Jennifer,L,Moss,Visa,Private household cook,female,73,Urban,Yes,33564,Single,Yes,Level3,1,0,Yes,Senior,Phone
70,Ms.,Aimee,L,Foster,AMEX,,female,49,Rural,No,,,Yes,Level2,1,2,No,,Email
71,Ms.,Mollie,H,Gibbs,Visa,Computer support specialist,female,47,Urban,Yes,33780,Single,Yes,Level2,2,3,Yes,Standard,Phone
72,Mrs.,Mirrin,C,Watson,,,female,22,Urban,No,,,Yes,Level1,0,0,Yes,Backpacker,SMS
73,Mr.,Nathan,C,Lewis,AMEX,Library media assistant,male,20,Urban,Yes,4760,Bundle,No,,,,Yes,Backpacker,SMS
74,Ms.,Bethany,S,Bentley,Visa,,female,65,Urban,Yes,26924,Single,Yes,Level3,1,0,No,,Phone
77,Ms.,Daisy,B,Morris,,Hardware engineer,female,52,Rural,Yes,15917,Single,No,,,,No,,Phone
78,Ms.,Vanessa,E,King,AMEX,Acoustical carpenter,female,180,Urban,Yes,4791,Bundle,No,,,,Yes,Backpacker,Email
79,Mrs.,Chelsey,S,Henderson,Visa,,female,18,Urban,No,,,No,,,,Yes,Backpacker,SMS
81,Mr.,Kenzie,T,Martin,,,male,18,Rural,Yes,20410,Bundle,Yes,Level1,0,0,No,,Email
82,Ms.,Chelsea,D,Hamilton,AMEX,Groundskeeper,female,49,Rural,Yes,13579,Single,Yes,Level1,2,2,No,,Email
83,Mr.,Sonny,K,Graham,AMEX,Wildlife biologist,male,45,Rural,Yes,11690,Single,Yes,Level3,1,3,No,,SMS
84,Mrs.,Georgina,B,Clark,,Amusement machine repairer,female,-44,Urban,Yes,5322,Bundle,No,,,,Yes,Premium,SMS
85,Mr.,Luke,A,Murray,Visa,Diagnostic medical sonographer,male,54,Rural,Yes,9901,Single,No,,,,No,,Phone
86,Mrs.,Alyssa,A,Munro,Visa,Fire dispatcher,female,69,Rural,No,,,Yes,Level3,2,0,No,,Phone
87,Mrs.,Eva,S,Stephenson,AMEX,Promotions manager,female,18,Urban,Yes,27940,Bundle,No,,,,Yes,Business,Email
88,Mrs.,Charlie,M,Martin,AMEX,Nephrology nurse,female,48,Rural,Yes,17992,Single,Yes,Level3,1,3,No,,Phone
89,Ms.,Rachel,N,Briggs,AMEX,Meeting and convention planner,female,46,Rural,Yes,15243,Bundle,No,,,,No,,Phone
90,Mr.,Kris,A,Allan,,,male,49,Urban,Yes,26710,Single,Yes,Level3,1,2,Yes,Premium,Phone
91,Mr.,Riley,E,Turner,AMEX,,male,19,Rural,Yes,21666,Bundle,No,,,,Yes,Business,SMS
92,Mrs.,Lola,H,Fowler,Visa,Paleontologist,female,22,Urban,Yes,4735,Bundle,Yes,Level1,0,0,Yes,Backpacker,SMS
93,Mr.,Ethan,O,Russell,Visa,Nurse,male,43,Urban,Yes,39709,Single,Yes,Level1,1,2,No,,Email
94,Mr.,Bilal,M,King,Visa,Mixing and blending machine tender,male,210,Rural,Yes,5337,Bundle,No,,,,Yes,Premium,SMS
95,Mr.,Frazer,L,Gordon,Visa,Structural metal fabricator,male,20,Urban,Yes,4799,Bundle,No,,,,Yes,Standard,SMS
96,Mr.,Luke,L,Browne,Visa,Mason,male,47,Urban,Yes,34422,Single,Yes,Level2,0,2,No,,Email
97,Ms.,Maya,L,Collier,Visa,Human resources coordinator,female,21,Rural,Yes,5048,Single,No,,,,No,,Email
99,Ms.,Elizabeth,J,Bibi,Visa,Communications specialist,female,49,Rural,Yes,7981,Single,Yes,Level1,0,3,No,,Email
100,Mrs.,Hana,J,McLean,AMEX,,female,19,Rural,No,,,Yes,Level2,1,0,Yes,Business,Email
101,Mr.,Arron,M,Craig,Visa,Sports book runner,male,46,Urban,No,,,Yes,Level2,2,3,No,,Email
102,Ms.,Emma,M,Read,Visa,,female,46,Rural,Yes,29988,Single,Yes,Level1,1,3,Yes,Premium,Phone
104,Mr.,Jacob,I,Hyde,,,male,19,Urban,Yes,27966,Bundle,Yes,Level1,0,0,Yes,Premium,SMS
105,Mrs.,Zara,F,Johnston,Visa,Enrichment education instructor,female,20,Urban,Yes,29526,Bundle,Yes,Level1,1,0,Yes,Premium,SMS
106,Mrs.,Abby,M,Butler,Visa,,female,47,Rural,Yes,31643,Single,Yes,Level3,0,2,Yes,Premium,Email
107,Mrs.,Amber,S,Quinn,Visa,,female,49,Rural,No,,,Yes,Level1,1,3,Yes,Standard,Email
108,Ms.,Emaan,S,Douglas,AMEX,Welding machine operator,female,19,Urban,No,,,No,,,,Yes,Standard,Email
109,Mr.,Darren,C,Martin,Visa,Vending machine technician,male,51,Urban,Yes,35930,Single,Yes,Level2,1,3,No,,Phone
110,Mrs.,Sophie,J,Freeman,,Police officer,female,47,Rural,No,,,Yes,Level2,0,3,No,,SMS
111,Mr.,Samuel,M,Hart,,,male,72,Rural,Yes,31263,Single,Yes,Level2,1,0,Yes,Senior,Email
112,Mrs.,Scarlett,L,Bartlett,AMEX,Personal appearance worker,female,47,Urban,No,,,No,,,,No,,Email
113,Ms.,Molly,J,Morrison,,,female,47,Urban,Yes,36073,Single,Yes,Level1,1,2,No,,Phone
114,Mr.,Bailey,M,Smith,Visa,Help-desk technician,male,20,Urban,Yes,4905,Bundle,No,,,,Yes,Premium,SMS
117,Mr.,Thomas,B,Gardiner,,Microeconomist,male,49,Rural,Yes,10549,Single,No,,,,No,,Email
119,Dr.,Louie,A,Dyer,,,male,50,Urban,Yes,28528,Single,Yes,Level2,1,3,No,,Email
121,Ms.,Samantha,Y,Docherty,AMEX,,female,50,Urban,Yes,16689,Single,Yes,Level1,2,2,Yes,Backpacker,Phone
122,Mr.,Rocco,A,Douglas,AMEX,Housing manager,male,46,Urban,Yes,39569,Single,Yes,Level3,1,2,Yes,Business,Email
123,Mr.,Aaron,D,Page,AMEX,High school counselor,male,20,Urban,Yes,4957,Bundle,No,,,,Yes,Standard,Phone
125,Mrs.,Hannah,J,Howe,AMEX,Radiation protection technician,female,19,Urban,Yes,25211,Single,No,,,,Yes,Business,Email
126,Mrs.,Sophie,B,Parsons,Visa,Plating and coating machine setter,female,19,Rural,Yes,30826,Bundle,No,,,,Yes,Business,Email
127,Ms.,Bella,C,Munro,AMEX,,female,49,Rural,Yes,10336,Single,Yes,Level1,1,2,No,,Email
128,Mrs.,Maci,C,Miller,AMEX,Tower controller,female,63,Urban,Yes,28849,Bundle,Yes,Level2,1,0,Yes,Business,Phone
129,Mr.,Edward,J,Benson,Visa,Structural and reinforcing iron and metal worker,male,20,Rural,Yes,27795,Bundle,No,,,,No,,Email
130,Mr.,Samuel,L,Douglas,Visa,,male,20,Urban,No,,,Yes,Level1,0,0,Yes,Premium,Email
131,Mr.,Alex,S,Taylor,AMEX,,male,42,Rural,Yes,16085,Single,Yes,Level1,2,2,No,,Phone
132,Ms.,Laura,E,Rees,Visa,,female,48,Rural,No,,,Yes,Level3,1,3,No,,Phone
133,Mr.,Toby,E,Goodwin,Visa,Postal Service worker,male,55,Urban,Yes,30724,Single,Yes,Level2,1,3,No,,Phone
135,Mrs.,Rosie,J,Kirby,Visa,,female,47,Rural,Yes,6336,Single,No,,,,No,,Phone
136,Mr.,Christopher,C,Young,Visa,Data entry clerk,male,51,Urban,Yes,36802,Single,Yes,Level3,2,3,No,,Email
137,Ms.,Arianna,M,Douglas,Visa,,female,48,Urban,Yes,18400,Single,Yes,Level1,2,3,No,,SMS
138,Mr.,Luke,C,Rowley,Visa,,male,46,Urban,Yes,33577,Single,Yes,Level2,1,2,No,,Email
141,Ms.,April,L,Murray,Visa,Promotions specialist,female,20,Urban,Yes,17089,Bundle,Yes,Level1,0,0,Yes,Standard,Email
142,Ms.,Bethany,J,Hughes,,,female,18,Rural,Yes,22963,Single,Yes,Level2,1,0,Yes,Business,Email
143,Mrs.,Jodie,C,Simpson,Visa,,female,50,Rural,Yes,14186,Single,Yes,Level1,1,2,No,,Phone
144,Mr.,Rio,K,Martin,Visa,Timekeeping clerk,male,45,Urban,Yes,29157,Single,Yes,Level2,1,3,Yes,Premium,Phone
145,Mrs.,Beatrice,K,Williamson,AMEX,IT manager,female,51,Urban,Yes,34571,Single,Yes,Level2,2,2,No,,Email
149,Mr.,Oscar,H,Watkins,,Broadcast and sound engineering technician,male,22,Urban,Yes,5117,Bundle,No,,,,No,,SMS
151,Mr.,Spencer,A,Gough,,FBI agent,male,18,Urban,Yes,22590,Bundle,No,,,,Yes,Business,Email
152,Mr.,Mac,C,Johnstone,AMEX,,male,45,Urban,Yes,34961,Single,Yes,Level1,0,2,No,,Phone
153,Ms.,Charlie,S,Clark,Visa,Telephone line installer,female,22,Urban,Yes,4966,Bundle,No,,,,Yes,Backpacker,SMS
154,Mr.,Jamie,B,Mitchell,Visa,Handymen,male,51,Rural,No,,,No,,,,No,,Phone
155,Mr.,Gary,P,Ross,AMEX,Training manager,male,50,Urban,Yes,28531,Single,No,,,,Yes,Senior,Phone
156,Mr.,Gary,C,McKay,AMEX,Technical training coordinator,male,44,Rural,Yes,14324,Single,No,,,,Yes,Standard,Phone
158,Ms.,Kate,C,James,Visa,,female,24,Rural,Yes,27416,Bundle,Yes,Level1,1,0,Yes,Premium,Email
159,Mrs.,Tegan,A,Barrett,Visa,Winch operator,female,65,Rural,No,,,Yes,Level2,1,0,No,,Phone
160,Mr.,Christopher,H,Bruce,AMEX,Gaming surveillance officer,male,46,Rural,Yes,20416,Single,Yes,Level2,0,2,Yes,Backpacker,Phone
161,Mrs.,Chelsey,B,Ross,AMEX,Edition binding worker,female,20,Urban,Yes,5007,Bundle,No,,,,Yes,Premium,Email
162,Mr.,Lewis,A,MacDonald,Visa,,male,47,Rural,Yes,10832,Single,No,,,,No,,Email
165,Mr.,Brandon,E,Muir,AMEX,Administrative assistant for human resource,male,45,Urban,Yes,28258,Single,Yes,Level3,1,2,Yes,Business,Email
167,Mr.,Benjamin,L,Joyce,Visa,,male,20,Urban,No,,,No,,,,Yes,Backpacker,SMS
168,Ms.,Beth,W,McIntyre,Visa,,female,24,Rural,Yes,26934,Bundle,No,,,,No,,SMS
169,Ms.,Avah,B,Martin,AMEX,Labor training manager,female,47,Urban,Yes,31963,Single,Yes,Level3,0,3,Yes,Business,Email
170,Ms.,Rebecca,O,Collins,AMEX,Pediatric nurse,female,45,Urban,Yes,30911,Bundle,Yes,Level3,0,2,Yes,Business,Phone
171,Mrs.,Abby,S,Long,AMEX,,female,60,Rural,Yes,18248,Single,No,,,,Yes,Senior,Phone
175,Mr.,Garry,K,Paterson,Visa,,male,50,Rural,Yes,16352,Single,Yes,Level2,1,2,No,,Phone
176,Mrs.,Hayley,I,Aitken,Visa,Home care aide,female,46,Urban,Yes,30583,Single,Yes,Level2,1,3,No,,Email
177,Ms.,Michelle,F,Johnstone,,Rigging chaser,female,44,Urban,No,,,Yes,Level2,1,2,Yes,Senior,Email
178,Mr.,Corey,A,Gordon,AMEX,Training manager,male,19,Rural,Yes,22224,Bundle,Yes,Level2,0,0,Yes,Business,SMS
180,Mrs.,Ameera,B,Watt,Visa,Two-stroke engine mechanic,female,50,Urban,Yes,32597,Single,Yes,Level3,2,3,Yes,Standard,Email
181,Mr.,Marco,K,Macleod,Visa,Rock splitter,male,18,Rural,Yes,4959,Bundle,No,,,,Yes,Premium,SMS
182,Mrs.,Keeva,H,Simpson,,Ecologist,female,18,Urban,Yes,26698,Bundle,No,,,,No,,Phone
184,Ms.,Emilie,R,Thomson,AMEX,Registered nurse anesthetist,female,45,Urban,Yes,33150,Single,Yes,Level3,1,2,Yes,Standard,Email
185,Mr.,Kevin,A,Graham,Visa,,male,18,Rural,Yes,30434,Bundle,No,,,,Yes,Standard,Email
187,Mr.,Jack,I,Smith,AMEX,Family practitioner,male,18,Rural,Yes,4989,Bundle,No,,,,Yes,Backpacker,SMS
189,Mrs.,Rowan,H,Bruce,Visa,Psychiatric nursing assistant,female,45,Rural,Yes,36963,Single,No,,,,Yes,Premium,SMS
190,Mr.,Callum,I,Giles,AMEX,Economist,male,54,Rural,No,,,Yes,Level1,1,2,No,,Email
193,Ms.,Eleanor,Z,Moran,Visa,Administrative assistant,female,48,Rural,Yes,17314,Single,Yes,Level2,0,2,No,,Phone
194,Mr.,Jonathan,E,Holland,Visa,Real estate manager,male,19,Urban,Yes,26586,Bundle,No,,,,No,,Email
197,Mrs.,Autumn,S,Martin,,Sociocultural anthropologist,female,44,Urban,Yes,32053,Single,Yes,Level1,1,3,No,,Phone
199,Mr.,Christian,M,Hamilton,AMEX,,male,45,Urban,Yes,36277,Single,Yes,Level3,0,2,Yes,Standard,SMS
200,Mrs.,Olivia,A,Bradshaw,Visa,Marketing specialist,female,47,Rural,Yes,9497,Single,Yes,Level1,2,2,No,,P
201,Mr.,Ewan,S,O'Sullivan,AMEX,Emergency care nurse,male,51,Rural,Yes,16026,Single,Yes,Level2,2,2,No,,Phone
202,Ms.,Faith,N,Richards,Visa,Executive recruiter,female,44,Urban,Yes,33565,Single,No,,,,Yes,Premium,Email
203,Ms.,Roisin,M,Mackenzie,Visa,Assignment editor,female,52,Urban,Yes,35411,Single,Yes,Level2,1,3,Yes,Standard,Email
207,Mr.,Joe,E,Ahmed,Visa,Collision repair and refinish technician,male,18,Urban,Yes,30247,Bundle,No,,,,Yes,Premium,SMS
210,Ms.,Kenzie,K,Bell,,Ecologist,female,52,Urban,Yes,38231,Single,Yes,Level1,0,2,Yes,Business,Email
211,Mr.,Blake,L,Kennedy,AMEX,Grill cook,male,19,Rural,Yes,26773,Bundle,No,,,,No,,Email
213,Ms.,Shannon,G,Stone,Visa,,female,45,Urban,Yes,39615,Single,Yes,Level2,1,2,No,,Email
214,Mr.,Lewis,Z,Wallace,AMEX,Economic geographer,male,39,Rural,Yes,34526,Single,Yes,Level1,0,3,No,,Phone
216,Mrs.,Ebony,A,McIntyre,,Telemarketer,female,42,Urban,No,,,Yes,Level2,1,3,Yes,Premium,Email
217,Mr.,Zak,S,Sykes,Visa,,male,47,Rural,Yes,16096,Single,Yes,Level2,1,3,No,,SMS
218,Mr.,Bruno,N,Paterson,AMEX,,male,53,Urban,Yes,28659,Single,Yes,Level1,0,2,Yes,Standard,Email
219,Mr.,Eric,K,Kerr,AMEX,,male,19,Rural,Yes,21167,Bundle,Yes,Level2,0,0,Yes,Backpacker,Email
221,Mr.,Jonathan,S,Fleming,,English as a second language teacher,male,20,Urban,Yes,29006,Bundle,No,,,,Yes,Premium,Email
222,Mr.,Clark,A,Wright,,Bleaching and dyeing machine operator,male,42,Urban,No,,,Yes,Level3,1,3,Yes,Business,Email
224,Mrs.,Molly,T,Stevenson,Visa,,female,44,Rural,Yes,37088,Single,Yes,Level3,0,2,Yes,Business,Email
226,Ms.,Bailey,P,Munro,AMEX,Clerical worker supervisor,female,64,Rural,No,,,Yes,Level2,0,0,No,,Phone
227,Dr.,Constance,J,Watson,Visa,Speech therapist,female,22,Urban,Yes,18579,Bundle,No,,,,No,,Email
228,Ms.,Louise,T,Pickering,Visa,Social psychologist,female,43,Rural,Yes,36405,Single,Yes,Level3,1,2,No,,Email
229,Mr.,Jan,P,McMillan,,,male,21,Urban,Yes,21560,Bundle,Yes,Level2,0,0,No,,SMS
230,Mr.,Benjamin,H,Gibson,Visa,,male,23,Urban,No,,,No,,,,Yes,Business,Email
231,Mr.,Morgan,S,Smith,Visa,Physiologist,male,45,Urban,Yes,31461,Single,Yes,Level2,1,2,Yes,Backpacker,Phone
232,Mr.,Ciaran,S,Jones,,,male,64,Urban,Yes,28195,Single,No,,,,Yes,Standard,Phone
233,Mr.,Jakub,M,Scott,Visa,,male,49,Urban,Yes,29786,Single,Yes,Level3,1,2,No,,Email
235,Mrs.,Victoria,J,Dennis,Visa,News reporter,female,18,Urban,No,,,No,,,,No,,SMS
236,Ms.,Emily,L,Boyle,,Brake repairer,female,51,Urban,Yes,34691,Single,Yes,Level2,1,2,No,,Email
237,Dr.,Keiren,M,Henderson,AMEX,Farm and home management advisor,male,59,Urban,Yes,23798,Single,Yes,Level3,1,0,Yes,Senior,SMS
238,Mrs.,Danielle,L,Dawson,AMEX,,female,18,Urban,Yes,4937,Bundle,No,,,,Yes,Backpacker,SMS
240,Mrs.,Poppy,L,Gardner,Visa,,female,49,Rural,Yes,11583,Single,Yes,Level2,1,3,No,,Phone
242,Mr.,Keiran,L,Jones,AMEX,,male,50,Urban,Yes,36766,Single,Yes,Level2,1,2,Yes,Business,Email
243,Mr.,Scott,A,Dodd,AMEX,,male,47,Urban,Yes,34441,Single,Yes,Level2,0,3,No,,Email
244,Ms.,Aleeza,K,Allan,AMEX,Aircraft flight engineer,female,20,Rural,Yes,21462,Bundle,Yes,Level1,0,0,Yes,Business,Email
246,Ms.,Mia,I,Stewart,AMEX,,female,19,Urban,Yes,4906,Bundle,No,,,,Yes,Backpacker,Email
247,Mrs.,Kimberly,G,Anderson,AMEX,Human service worker,female,20,Urban,Yes,5147,Bundle,No,,,,Yes,Backpacker,SMS
248,Ms.,Madison,A,Crawford,AMEX,,female,19,Urban,Yes,24476,Bundle,Yes,Level1,0,0,No,,SMS
249,Mrs.,Amelia,J,Millar,Visa,,female,47,Urban,Yes,18153,Single,Yes,Level2,1,2,No,,Phone
250,Mr.,Millar,K,Allan,Visa,Plant manager,male,19,Rural,Yes,30972,Bundle,Yes,Level2,1,0,Yes,Business,SMS
254,Ms.,Yvie,L,Simpson,,,female,18,Urban,Yes,4596,Bundle,No,,,,Yes,Premium,SMS
255,Mr.,Dominic,K,Reynolds,AMEX,Attorney,male,43,Urban,Yes,29802,Bundle,Yes,Level2,1,3,Yes,Premium,Email
256,Ms.,Emaan,T,Morrison,Visa,,female,49,Rural,Yes,12989,Single,No,,,,No,,Phone
257,Mr.,Ruaridh,E,Graham,Visa,,male,22,Rural,Yes,5410,Bundle,No,,,,Yes,Backpacker,SMS
258,Mr.,Taylor,A,Goddard,AMEX,,male,18,Urban,Yes,4975,Bundle,No,,,,Yes,Backpacker,SMS
259,Mrs.,Ella,L,Walker,,Personnel manager,female,44,Urban,Yes,35755,Single,Yes,Level3,1,3,No,,Email
260,Ms.,Kayleigh,G,Cunningham,AMEX,Farm and home management advisor,female,65,Rural,Yes,29728,Bundle,No,,,,Yes,Senior,Phone
262,Mrs.,Demi,L,Mitchell,AMEX,,female,73,Urban,No,,,Yes,Level3,1,0,Yes,Senior,Email
263,Mrs.,Lola,J,Kennedy,AMEX,Leasing consultant,female,18,Urban,Yes,24730,Bundle,Yes,Level2,0,0,Yes,Backpacker,Email
264,Mrs.,Rhianna,E,Stewart,Visa,Direct care worker,female,47,Rural,Yes,27882,Single,Yes,Level2,1,2,No,,Email
266,Mr.,Robert,I,Shaw,,Real estate appraiser,male,19,Rural,No,,,No,,,,Yes,Standard,Email
267,Mr.,Finlay,L,Norton,Visa,Human services manager,male,46,Rural,Yes,14186,Bundle,Yes,Level2,0,2,Yes,Premium,Phone
268,Mrs.,Bella,R,Allan,Visa,Electrical and electronics repairer,female,22,Rural,Yes,21491,Bundle,No,,,,Yes,Standard,SMS
269,Ms.,Faryl,C,Jones,AMEX,Superintendent,female,45,Urban,Yes,35289,Single,No,,,,No,,Email
270,Mrs.,Cerys,B,Duncan,AMEX,Lithographer,female,21,Rural,Yes,4841,Bundle,No,,,,Yes,Premium,SMS
271,Mr.,Jackson,T,Johnston,Visa,Job development specialist,male,51,Rural,No,,,Yes,Level1,1,3,No,,Phone
273,Ms.,Sophia,A,Page,Visa,Industrial hygienist,female,24,Rural,Yes,27129,Bundle,No,,,,Yes,Backpacker,Email
275,Ms.,Alice,J,Houghton,AMEX,Employment service specialist,female,73,Urban,No,,,No,,,,Yes,Backpacker,Email
276,Mr.,Finlay,F,Millar,Visa,Account collector,male,47,Urban,Yes,31372,Single,Yes,Level1,1,2,No,,Email
277,Mr.,Zachary,A,Elliott,AMEX,Structural and reinforcing iron and metal worker,male,71,Rural,Yes,27084,Single,No,,,,No,,Email
278,Mr.,Finley,F,Talbot,,,male,47,Rural,Yes,12654,Single,Yes,Level1,1,2,No,,Phone
280,Mr.,Morgan,L,Weston,AMEX,,male,22,Urban,Yes,26788,Bundle,No,,,,Yes,Business,SMS
281,Mrs.,Shona,M,Kerr,Visa,Maxillofacial surgeon,female,50,Rural,Yes,16565,Single,Yes,Level1,0,2,Yes,Standard,Phone
282,Mrs.,Vanessa,M,Reid,AMEX,Bench jeweler,female,48,Rural,Yes,10144,Single,Yes,Level2,2,3,Yes,Business,Phone
283,Ms.,Alyssa,C,Brown,AMEX,,female,51,Rural,Yes,17236,Single,No,,,,No,,Email
285,Mrs.,Emma,E,Savage,AMEX,,female,18,Urban,Yes,26990,Bundle,Yes,Level1,1,0,No,,SMS
286,Mr.,Alastair,E,McKay,AMEX,Executive secretary,male,18,Urban,Yes,4885,Bundle,No,,,,Yes,Premium,SMS
288,Mr.,Rio,E,Shaw,Visa,Health care interpreter,male,70,Rural,Yes,32151,Single,No,,,,Yes,Senior,Phone
